Company: NYCCP hosted by Big Reuse

Stack-name: BC_11_HEAP
Filename: 2015-03-26.csv

First data download at: 4/17/2015
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;26.03.2015  15:07;   19;   26;   29;   32;   29;  100; 21,1;2;    0;    0;
2;26.03.2015  16:07;   19;   27;   31;   34;   31;  100; 21,1;2;   10;    5;
3;26.03.2015  17:07;   20;   28;   31;   34;   32;  100; 21,1;2;   20;   10;
4;26.03.2015  18:07;   20;   28;   32;   35;   32;  100; 21,1;2;   30;   15;
5;26.03.2015  19:07;   20;   28;   32;   35;   33;  100; 21,1;2;   40;   20;
6;26.03.2015  20:07;   20;   28;   32;   35;   33;  100; 21,1;2;   50;   25;
7;26.03.2015  21:07;   20;   28;   32;   35;   33;  100; 21,1;2;   60;   30;
8;26.03.2015  22:07;   20;   28;   32;   35;   34;  100; 21,1;2;   70;   35;
9;26.03.2015  23:07;   20;   28;   32;   35;   34;  100; 21,1;2;   80;   40;
10;26.03.2015  23:59;   20;   28;   32;   35;   34;  100; 21,1;2;   90;   45;
11;27.03.2015  00:07;   20;   28;   32;   35;   34;  100; 21,1;2;    0;    0;
12;27.03.2015  01:07;   20;   28;   32;   35;   34;  100; 21,1;2;   10;    5;
13;27.03.2015  02:07;   20;   28;   32;   35;   34;  100; 21,1;2;   20;   10;
14;27.03.2015  03:07;   20;   28;   32;   35;   35;  100; 21,1;2;   30;   15;
15;27.03.2015  04:07;   20;   28;   32;   35;   35;  100; 21,1;2;   40;   20;
16;27.03.2015  05:07;   20;   28;   32;   35;   35;  100; 21,1;2;   50;   25;
17;27.03.2015  06:07;   20;   28;   32;   35;   35;  100; 21,1;2;   60;   30;
18;27.03.2015  07:07;   20;   28;   32;   35;   35;  100; 21,1;2;   70;   35;
19;27.03.2015  08:07;   20;   28;   32;   35;   35;  100; 21,1;2;   80;   40;
20;27.03.2015  09:07;   20;   28;   32;   35;   35;  100; 21,1;2;   90;   45;
21;27.03.2015  10:07;   20;   28;   32;   35;   36;  100; 21,1;2;  100;   50;
22;27.03.2015  11:07;   20;   28;   32;   35;   36;  100; 21,1;2;  111;   55;
23;27.03.2015  12:07;   21;   28;   32;   35;   36;  100; 21,1;2;  121;   60;
24;27.03.2015  13:07;   21;   28;   32;   35;   36;  100; 21,1;2;  131;   65;
25;27.03.2015  14:07;   21;   27;   32;   35;   36;  100; 21,1;2;  141;   70;
26;27.03.2015  15:07;   21;   27;   32;   35;   37;  100; 21,1;2;  151;   75;
27;27.03.2015  16:07;   21;   27;   32;   35;   37;  100; 21,1;2;  161;   80;
28;27.03.2015  17:07;   21;   27;   32;   35;   38;  100; 21,1;2;  171;   85;
29;27.03.2015  18:07;   21;   27;   32;   35;   38;  100; 21,1;2;  181;   90;
30;27.03.2015  19:07;   21;   27;   32;   35;   39;  100; 21,1;2;  191;   95;
31;27.03.2015  20:07;   21;   27;   32;   35;   40;  100; 21,1;2;  201;  100;
32;27.03.2015  21:07;   21;   27;   32;   35;   40;  100; 21,1;2;  211;  105;
33;27.03.2015  22:07;   21;   27;   32;   35;   40;  100; 21,1;2;  221;  110;
34;27.03.2015  23:07;   21;   27;   32;   35;   41;  100; 21,1;2;  231;  115;
35;27.03.2015  23:59;   21;   27;   32;   35;   41;  100; 21,1;2;  240;  120;
36;28.03.2015  00:07;   21;   27;   32;   35;   41;  100; 21,1;2;    1;    0;
37;28.03.2015  01:07;   21;   27;   32;   35;   41;  100; 21,1;2;   11;    5;
38;28.03.2015  02:07;   21;   27;   32;   35;   42;  100; 21,1;2;   21;   10;
39;28.03.2015  03:07;   21;   27;   32;   35;   42;  100; 21,1;2;   31;   15;
40;28.03.2015  04:07;   21;   27;   32;   35;   42;  100; 21,1;2;   41;   20;
41;28.03.2015  05:07;   21;   27;   32;   35;   42;  100; 21,1;2;   51;   25;
42;28.03.2015  06:07;   21;   27;   32;   35;   43;  100; 21,1;2;   61;   30;
43;28.03.2015  07:07;   21;   27;   32;   36;   43;  100; 21,1;2;   71;   35;
44;28.03.2015  08:07;   21;   27;   32;   36;   43;  100; 21,1;2;   81;   40;
45;28.03.2015  09:07;   21;   27;   32;   36;   43;  100; 21,1;2;   91;   45;
46;28.03.2015  10:07;   22;   27;   32;   36;   43;  100; 21,1;2;  101;   50;
47;28.03.2015  11:07;   22;   27;   32;   36;   43;  100; 21,1;2;  111;   55;
48;28.03.2015  12:07;   22;   27;   32;   36;   44;  100; 21,1;2;  121;   60;
