Company :
* Text *
* Text *

Stack- name: BC_2_Heap
Filename : Z:\DATA\BC_2_Heap_3-4-2014.CSV
Contains GrowNYC material from Feb and March
First data download at: 3/6/2014
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;04.03.2014  14:24;   10;    8;    3;    2;    1;  100; 15,7;3;    0;    0;
2;04.03.2014  15:24;   17;   13;    6;    2;    1;  100; 13,1;3;    4;    3;
3;04.03.2014  16:24;   18;   13;    6;    2;    1;  100;  9,6;3;    8;    7;
4;04.03.2014  17:24;   18;   14;    6;    2;    1;  100; 11,9;3;   13;   13;
5;04.03.2014  18:24;   19;   14;    7;    3;    1;  100; 11,8;3;   15;   18;
6;04.03.2014  19:24;   19;   15;    7;    3;    1;  100; 11,1;3;   20;   24;
7;04.03.2014  20:24;   20;   15;    8;    3;    1;  100; 12,3;3;   26;   31;
8;04.03.2014  21:24;   21;   16;    8;    3;    1;  100; 10,3;3;   32;   38;
9;04.03.2014  22:24;   21;   16;    8;    3;    1;  100; 12,1;3;   37;   47;
10;04.03.2014  23:24;   22;   17;    9;    4;    2;  100;  9,8;3;   45;   56;
11;04.03.2014  23:59;   23;   17;    9;    4;    2;  100; 11,2;3;   51;   62;
12;05.03.2014  00:24;   23;   18;    9;    4;    2;  100; 11,9;3;    4;    5;
13;05.03.2014  01:24;   24;   19;   10;    4;    2;  100; 12,1;3;   15;   16;
14;05.03.2014  02:24;   25;   20;   10;    4;    2;  100; 10,2;3;   25;   27;
15;05.03.2014  03:24;   27;   21;   11;    5;    2;  100; 12,0;3;   36;   39;
16;05.03.2014  04:24;   28;   22;   11;    5;    2;  100;  9,7;3;   45;   50;
17;05.03.2014  05:24;   29;   23;   12;    5;    2;  100;  9,0;3;   55;   61;
18;05.03.2014  06:24;   31;   24;   13;    6;    2;  100; 11,2;3;   65;   72;
19;05.03.2014  07:24;   32;   25;   14;    6;    2;  100; 10,4;3;   75;   82;
20;05.03.2014  08:24;   34;   27;   15;    6;    2;  100; 10,0;3;   85;   92;
21;05.03.2014  09:24;   35;   28;   15;    7;    2;  100;  9,1;3;   95;  102;
22;05.03.2014  10:24;   37;   30;   16;    7;    3;  100; 11,4;3;  105;  113;
23;05.03.2014  11:24;   39;   31;   17;    8;    3;  100; 12,0;3;  115;  124;
24;05.03.2014  12:24;   41;   33;   18;    8;    3;  100; 11,2;3;  125;  135;
25;05.03.2014  13:24;   42;   35;   20;    9;    3;  100; 12,1;3;  135;  147;
26;05.03.2014  14:24;   44;   37;   21;    9;    3;  100;  9,7;3;  146;  159;
27;05.03.2014  15:24;   46;   38;   22;   10;    4;  100;  9,1;3;  158;  172;
28;05.03.2014  16:24;   47;   40;   24;   11;    4;  100; 11,1;3;  170;  186;
29;05.03.2014  17:24;   49;   42;   26;   11;    4;  100; 10,9;3;  182;  199;
30;05.03.2014  18:24;   50;   44;   28;   12;    4;  100; 12,4;3;  194;  213;
31;05.03.2014  19:24;   52;   45;   30;   14;    5;  100;  9,5;3;  205;  226;
32;05.03.2014  20:24;   54;   47;   32;   15;    5;  100; 10,8;3;  218;  240;
33;05.03.2014  21:24;   55;   48;   34;   16;    5;  100; 11,8;3;  231;  254;
34;05.03.2014  22:24;   57;   50;   36;   17;    5;   93;  9,7;3;  242;  267;
35;05.03.2014  23:24;   59;   51;   38;   18;    6;   87; 10,8;3;  255;  280;
36;05.03.2014  23:59;   61;   52;   39;   19;    6;   83;  9,4;3;  262;  286;
37;06.03.2014  00:24;   62;   53;   40;   20;    6;   80;  9,3;3;    4;    4;
38;06.03.2014  01:24;   64;   55;   43;   22;    7;   75; 10,8;3;   19;   17;
39;06.03.2014  02:24;   67;   57;   45;   24;    8;   71; 12,3;3;   31;   29;
40;06.03.2014  03:24;   69;   59;   48;   25;    8;   66; 10,6;3;   44;   41;
41;06.03.2014  04:24;   71;   61;   51;   28;    9;   60; 11,9;3;   59;   54;
42;06.03.2014  05:24;   72;   64;   54;   30;   10;   52;  9,3;3;   72;   67;
43;06.03.2014  06:24;   73;   66;   58;   33;   11;   47;  9,7;3;   88;   81;
44;06.03.2014  07:24;   75;   69;   61;   36;   12;   44; 11,6;3;  104;   96;
45;06.03.2014  15:44;   73;   67;   58;   44;   22;   44;  3,1;3;  113;  105;
46;06.03.2014  16:44;   73;   68;   61;   47;   24;   39; 12,2;3;  129;  114;
47;06.03.2014  17:44;   74;   69;   63;   49;   26;   35;  9,5;3;  139;  121;
48;06.03.2014  18:44;   74;   70;   65;   52;   28;   30; 10,6;3;  152;  130;
49;06.03.2014  19:44;   75;   71;   67;   55;   29;   25; 10,4;3;  164;  140;
50;06.03.2014  20:44;   75;   72;   69;   58;   31;   22; 10,8;3;  178;  151;
51;06.03.2014  21:44;   75;   73;   71;   60;   33;   20; 11,9;3;  192;  163;
52;06.03.2014  22:44;   75;   74;   72;   63;   35;   17;  9,4;3;  205;  174;
53;06.03.2014  23:44;   75;   75;   73;   65;   38;   15; 10,3;3;  217;  186;
54;06.03.2014  23:59;   75;   75;   74;   65;   38;   15; 10,7;3;  220;  189;
55;07.03.2014  00:44;   75;   75;   74;   67;   40;   13; 11,4;3;    9;    9;
56;07.03.2014  01:44;   75;   76;   75;   68;   42;   12; 11,8;3;   22;   21;
57;07.03.2014  02:44;   76;   76;   76;   70;   45;   10; 11,3;3;   32;   33;
58;07.03.2014  03:44;   76;   77;   77;   71;   47;    8; 10,0;3;   44;   44;
59;07.03.2014  04:44;   76;   77;   78;   72;   49;    6;  9,8;3;   54;   56;
60;07.03.2014  05:44;   76;   77;   78;   74;   52;    3; 10,6;3;   65;   68;
61;07.03.2014  06:44;   76;   77;   79;   75;   54;    1; 11,8;3;   76;   80;
62;07.03.2014  07:44;   77;   78;   80;   76;   56;    0;  9,9;3;   87;   91;
63;07.03.2014  08:44;    3;    1;    2;    1;    1;  100; 21,1;3;   91;   99;
64;07.03.2014  09:44;    1;    1;    1;    1;    0;  100; 21,1;3;   91;   99;
65;07.03.2014  10:44;    1;    1;    2;    1;    1;  100; 21,1;3;   91;   99;
66;07.03.2014  11:44;    2;    2;    2;    2;    1;  100; 21,1;3;   91;   99;
67;07.03.2014  12:44;    2;    2;    2;    2;    2;  100; 21,1;4;   97;  101;
68;07.03.2014  13:44;   72;   75;   78;   75;   72;    0; 12,4;3;  110;  110;
69;07.03.2014  14:44;   72;   75;   79;   75;   72;    0; 11,4;3;  120;  118;
70;07.03.2014  15:44;   72;   75;   79;   75;   73;    0; 10,4;3;  129;  126;
71;07.03.2014  16:44;   71;   75;   79;   75;   73;    0; 10,5;3;  140;  134;
72;07.03.2014  17:44;   71;   75;   79;   75;   73;    0;  9,2;3;  151;  142;
73;07.03.2014  18:44;   71;   75;   79;   75;   73;    0; 11,5;3;  165;  151;
74;07.03.2014  19:44;   71;   75;   79;   74;   73;    0; 12,0;3;  175;  160;
75;07.03.2014  20:44;   71;   75;   79;   74;   73;    0; 10,6;3;  185;  169;
76;07.03.2014  21:44;   71;   75;   79;   74;   73;    0;  9,7;3;  195;  178;
77;07.03.2014  22:44;   71;   75;   79;   74;   73;    0; 12,1;3;  205;  189;
78;07.03.2014  23:44;   71;   75;   79;   74;   73;    0;  9,9;3;  214;  199;
79;07.03.2014  23:59;   71;   75;   79;   74;   73;    0; 10,2;3;  217;  202;
80;08.03.2014  00:44;   70;   75;   78;   74;   72;    0; 11,9;3;    7;    9;
81;08.03.2014  01:44;   70;   75;   78;   74;   72;    0; 11,0;3;   15;   23;
82;08.03.2014  02:44;   70;   75;   78;   74;   72;    0; 11,2;3;   25;   37;
83;08.03.2014  03:44;   70;   75;   78;   74;   72;    0; 10,7;3;   33;   51;
84;08.03.2014  04:44;   70;   75;   78;   74;   72;    0; 11,1;3;   42;   65;
85;08.03.2014  05:44;   70;   75;   78;   73;   72;    0;  9,9;3;   49;   78;
86;08.03.2014  06:44;   70;   75;   78;   73;   72;    0; 11,2;3;   56;   92;
87;08.03.2014  07:44;   71;   75;   78;   73;   72;    0; 11,3;3;   62;  106;
88;08.03.2014  08:44;   71;   75;   78;   73;   72;    0; 11,1;3;   70;  120;
89;08.03.2014  09:44;   71;   75;   78;   73;   72;    0;  9,8;3;   78;  133;
90;08.03.2014  10:44;   71;   75;   78;   73;   72;    0;  9,6;3;   84;  146;
91;08.03.2014  11:44;   71;   75;   78;   73;   72;    0; 11,4;3;   91;  160;
92;08.03.2014  12:44;   71;   75;   78;   73;   72;    0; 10,4;3;  100;  173;
93;08.03.2014  13:44;   71;   75;   78;   74;   72;    0; 11,4;3;  103;  187;
94;08.03.2014  14:44;   71;   75;   78;   74;   72;    0; 10,2;3;  112;  200;
95;08.03.2014  15:44;   71;   75;   78;   74;   72;    0; 11,1;3;  117;  214;
96;08.03.2014  16:44;   71;   75;   78;   74;   72;    0; 10,5;3;  124;  227;
97;08.03.2014  17:44;   71;   75;   78;   74;   72;    0;  9,7;3;  129;  239;
98;08.03.2014  18:44;   72;   75;   78;   74;   72;    0; 11,3;3;  137;  252;
99;08.03.2014  19:44;   72;   76;   78;   74;   72;    0; 11,2;3;  143;  264;
100;08.03.2014  20:44;   72;   76;   78;   74;   72;    0; 11,4;3;  148;  276;
101;08.03.2014  21:44;   72;   76;   78;   74;   72;    0; 10,1;3;  155;  287;
102;08.03.2014  22:44;   72;   76;   78;   74;   72;    0; 10,8;3;  162;  299;
103;08.03.2014  23:44;   72;   76;   78;   74;   73;    0; 10,9;3;  168;  310;
104;08.03.2014  23:59;   72;   76;   78;   74;   73;    0;  9,9;3;  169;  312;
105;09.03.2014  00:44;   72;   76;   78;   74;   73;    0; 10,2;3;    5;    8;
106;09.03.2014  01:44;   73;   76;   78;   74;   73;    0; 11,4;3;    8;   19;
107;09.03.2014  02:44;   73;   76;   78;   74;   73;    0;  9,8;3;   11;   29;
108;09.03.2014  03:44;   73;   76;   78;   75;   73;    0; 10,9;3;   18;   40;
109;09.03.2014  04:44;   73;   76;   78;   75;   73;    0;  9,6;3;   25;   49;
110;09.03.2014  05:44;   73;   76;   78;   75;   73;    0; 10,8;3;   33;   60;
111;09.03.2014  06:44;   73;   76;   78;   75;   73;    0;  9,8;3;   39;   69;
112;09.03.2014  07:44;   73;   76;   78;   75;   73;    0; 11,3;3;   46;   80;
113;09.03.2014  08:44;   73;   77;   78;   75;   73;    0; 10,8;3;   51;   90;
114;09.03.2014  09:44;   74;   77;   79;   75;   73;    0; 10,6;3;   58;  100;
115;09.03.2014  10:44;   74;   77;   79;   75;   73;    0; 10,9;3;   63;  110;
116;09.03.2014  11:44;   74;   77;   79;   75;   73;    0; 10,2;3;   69;  120;
117;09.03.2014  12:44;   74;   77;   79;   75;   73;    0;  9,6;3;   73;  129;
118;09.03.2014  13:44;   74;   77;   79;   75;   73;    0; 10,8;3;   78;  139;
119;09.03.2014  14:44;   74;   77;   79;   75;   73;    0; 11,2;3;   82;  149;
120;09.03.2014  15:44;   74;   77;   79;   75;   73;    0; 10,9;3;   87;  159;
121;09.03.2014  16:44;   74;   77;   79;   75;   73;    0; 10,8;3;   91;  168;
122;09.03.2014  17:44;   75;   77;   79;   75;   73;    0;  9,7;3;   96;  177;
123;09.03.2014  18:44;   75;   77;   79;   75;   73;    0; 10,9;3;  102;  186;
124;09.03.2014  19:44;   75;   77;   79;   76;   73;    0;  9,7;3;  107;  194;
125;09.03.2014  20:44;   75;   77;   79;   76;   73;    0; 11,4;3;  109;  203;
126;09.03.2014  21:44;   75;   77;   79;   76;   73;    0; 11,8;3;  113;  211;
127;09.03.2014  22:44;   75;   77;   79;   76;   74;    0;  9,8;3;  116;  219;
128;09.03.2014  23:44;   75;   77;   79;   76;   74;    0;  9,7;3;  120;  228;
129;09.03.2014  23:59;   75;   77;   79;   76;   74;    0; 11,1;3;  123;  231;
130;10.03.2014  00:44;   75;   77;   79;   76;   74;    0;  9,7;3;    3;    6;
