Company :
* Text *
* Text *

Stack- name: BC_3_Heap
Filename : Z:\DATA\BC_3_Heap_4-15-2014.CSV

First data download at: 4/15/2014
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;15.04.2014  15:10;   18;   21;   23;   36;   40;  100;  1,1;3;    1;    0;
2;15.04.2014  16:10;   18;   21;   25;   39;   44;  100;  9,9;3;    8;    8;
3;15.04.2014  17:10;   19;   22;   27;   41;   46;  100; 10,2;3;   16;   17;
4;15.04.2014  18:10;   19;   22;   29;   42;   48;  100;  9,4;3;   25;   26;
5;15.04.2014  19:10;   19;   23;   32;   43;   50;  100; 12,6;3;   35;   35;
6;15.04.2014  20:10;   20;   25;   36;   45;   52;  100; 14,4;3;   46;   44;
7;15.04.2014  21:10;   20;   26;   41;   46;   53;  100; 13,5;3;   58;   53;
8;15.04.2014  22:10;   21;   28;   44;   48;   54;  100;  9,4;3;   70;   62;
9;15.04.2014  23:10;   22;   31;   47;   50;   55;  100; 11,4;3;   86;   72;
10;15.04.2014  23:59;   23;   35;   49;   52;   55;  100; 10,0;3;   94;   80;
11;16.04.2014  00:10;   23;   35;   49;   53;   55;  100; 12,4;3;    3;    2;
12;16.04.2014  01:10;   25;   39;   50;   54;   57;  100;  9,5;3;   19;   12;
13;16.04.2014  02:10;   27;   43;   50;   56;   58;  100; 10,8;3;   34;   23;
14;16.04.2014  03:10;   30;   45;   51;   57;   60;  100;  9,6;3;   50;   34;
15;16.04.2014  04:10;   33;   47;   51;   57;   61;  100; 11,4;3;   64;   55;
16;16.04.2014  05:10;   37;   48;   51;   58;   62;  100;  9,7;3;   81;   74;
17;16.04.2014  06:10;   40;   48;   51;   58;   62;  100; 10,4;3;   94;   93;
18;16.04.2014  07:10;   42;   49;   52;   59;   63;  100; 10,8;3;  108;  111;
19;16.04.2014  08:10;   44;   49;   52;   59;   63;  100;  9,5;3;  118;  128;
20;16.04.2014  09:10;   45;   49;   52;   60;   64;  100; 10,1;3;  129;  145;
21;16.04.2014  10:10;   46;   49;   52;   60;   64;  100; 12,0;3;  139;  162;
22;16.04.2014  11:10;    5;    5;    5;    5;    4;  100; 21,1;3;  145;  169;
23;16.04.2014  12:10;    6;    6;    6;    6;    5;  100; 21,1;3;  145;  169;
24;16.04.2014  13:10;    7;    7;    7;    6;    6;  100; 21,1;3;  145;  169;
25;16.04.2014  14:10;    8;    8;    8;    8;    7;  100; 21,1;3;  145;  169;
26;16.04.2014  15:10;    8;    8;    8;    8;    8;  100; 21,1;4;  154;  172;
27;16.04.2014  16:10;   72;   74;   61;   48;   41;   38; 13,8;3;  173;  179;
28;16.04.2014  17:10;   76;   77;   69;   52;   47;   29;  9,7;3;  190;  187;
29;16.04.2014  18:10;   76;   77;   74;   55;   50;   25;  9,3;3;  210;  198;
30;16.04.2014  19:10;   76;   78;   77;   60;   52;    9; 10,8;3;  234;  210;
31;16.04.2014  20:10;   77;   78;   79;   66;   55;    0;  9,6;3;  258;  221;
32;16.04.2014  21:10;   77;   78;   80;   70;   58;    0;  8,8;3;  282;  233;
33;16.04.2014  22:10;   77;   78;   80;   75;   63;    0; 10,0;3;  307;  246;
34;16.04.2014  23:10;   76;   78;   81;   77;   67;    0; 10,2;3;  333;  259;
35;16.04.2014  23:59;   76;   78;   81;   79;   70;    0;  9,0;3;  354;  271;
36;17.04.2014  00:10;   76;   78;   81;   79;   71;    0; 10,2;3;    5;    3;
37;17.04.2014  01:10;   76;   77;   80;   80;   74;    0;  9,1;3;   33;   18;
38;17.04.2014  02:10;   75;   77;   80;   81;   77;    0; 10,2;3;   61;   34;
39;17.04.2014  03:10;   74;   77;   80;   81;   79;    0;  9,4;3;   88;   52;
40;17.04.2014  04:10;   73;   76;   80;   81;   80;    0;  9,6;3;  114;   71;
41;17.04.2014  05:10;   73;   76;   80;   81;   81;    0;  9,3;3;  138;   90;
42;17.04.2014  06:10;   72;   76;   80;   81;   81;    0; 10,0;3;  159;  109;
43;17.04.2014  07:10;   72;   75;   80;   81;   81;    0; 10,4;3;  179;  128;
44;17.04.2014  08:10;   71;   75;   80;   81;   81;    0; 10,6;3;  198;  148;
45;17.04.2014  09:10;   70;   75;   80;   81;   81;    0;  9,4;3;  215;  166;
46;17.04.2014  10:10;   70;   75;   80;   81;   81;    0; 10,3;3;  232;  185;
47;17.04.2014  11:10;   70;   75;   80;   81;   81;    0; 10,2;3;  249;  203;
48;17.04.2014  12:10;   69;   75;   80;   81;   81;    0; 10,8;3;  265;  221;
49;17.04.2014  13:10;   69;   75;   80;   81;   81;    0; 10,7;3;  279;  239;
50;17.04.2014  14:10;   69;   74;   79;   81;   81;    0; 10,8;3;  290;  256;
51;17.04.2014  15:10;   68;   74;   79;   81;   81;    0; 10,6;3;  304;  273;
52;17.04.2014  16:10;   68;   74;   79;   81;   81;    0;  9,8;3;  315;  290;
53;17.04.2014  17:10;   68;   74;   79;   81;   81;    0; 10,0;3;  329;  307;
54;17.04.2014  18:10;   68;   74;   79;   80;   81;    0; 10,9;3;  345;  324;
55;17.04.2014  19:10;   68;   74;   79;   80;   81;    0; 10,1;3;  357;  340;
56;17.04.2014  20:10;   67;   74;   79;   80;   81;    0; 11,1;3;  369;  357;
57;17.04.2014  21:10;   67;   74;   79;   80;   81;    0; 11,2;3;  381;  373;
58;17.04.2014  22:10;   67;   73;   79;   80;   81;    0; 11,0;3;  393;  389;
59;17.04.2014  23:10;   67;   73;   79;   80;   81;    0; 11,1;3;  406;  405;
60;17.04.2014  23:59;   67;   73;   79;   80;   80;    0; 11,4;3;  418;  420;
61;18.04.2014  00:10;   67;   73;   79;   80;   80;    0;  9,8;3;    3;    2;
62;18.04.2014  01:10;   67;   73;   79;   80;   80;    0; 11,1;3;   18;   20;
63;18.04.2014  02:10;   66;   73;   79;   80;   80;    0; 11,2;3;   28;   35;
64;18.04.2014  03:10;   65;   71;   78;   79;   80;    0; 10,9;3;   54;   45;
65;18.04.2014  04:10;   65;   72;   78;   80;   80;    0;  9,9;3;   65;   61;
66;18.04.2014  05:10;   65;   72;   78;   80;   80;    0; 10,3;3;   77;   75;
67;18.04.2014  06:10;   65;   72;   78;   80;   80;    0; 10,9;3;   87;   90;
68;18.04.2014  07:10;   65;   72;   78;   80;   80;    0; 11,4;3;   98;  104;
69;18.04.2014  08:10;   65;   72;   78;   80;   80;    0; 10,0;3;  108;  117;
70;18.04.2014  09:10;   17;   15;   16;   13;   14;  100; 21,1;3;  116;  129;
71;18.04.2014  10:10;   10;   10;    9;    9;    8;  100; 21,1;3;  116;  129;
72;18.04.2014  14:30;   11;   11;   11;   10;    9;  100; 17,8;3;  116;  130;
73;18.04.2014  15:30;   55;   63;   71;   71;   71;  100; 15,1;3;  120;  134;
74;18.04.2014  16:30;   56;   64;   72;   73;   73;    0; 13,1;3;  123;  139;
75;18.04.2014  17:30;   57;   65;   72;   73;   74;    0;  9,0;3;  128;  144;
76;18.04.2014  18:30;   57;   65;   72;   73;   74;    0; 11,4;3;  134;  150;
77;18.04.2014  19:30;   57;   65;   72;   73;   74;    0; 11,8;3;  139;  156;
78;18.04.2014  20:30;   58;   65;   73;   74;   75;    0; 11,0;3;  144;  162;
79;18.04.2014  21:30;   58;   66;   73;   74;   75;    0; 11,9;3;  150;  169;
80;18.04.2014  22:30;   58;   66;   73;   74;   75;    0; 12,5;3;  154;  175;
81;18.04.2014  23:30;   58;   66;   73;   74;   75;    0; 14,8;3;  161;  182;
82;18.04.2014  23:59;   58;   66;   73;   74;   75;    0; 13,5;3;  162;  185;
83;19.04.2014  00:30;   59;   66;   73;   74;   75;    0;  9,6;3;    2;    3;
84;19.04.2014  01:30;   59;   66;   73;   74;   75;    0; 10,6;3;    8;   10;
85;19.04.2014  02:30;   59;   67;   73;   74;   75;    0; 10,5;3;   13;   17;
86;19.04.2014  03:30;   59;   67;   73;   74;   75;    0;  9,8;3;   17;   24;
87;19.04.2014  04:30;   59;   67;   73;   74;   75;    0; 14,2;3;   22;   32;
88;19.04.2014  05:30;   59;   67;   73;   74;   75;    0; 11,9;3;   27;   39;
89;19.04.2014  06:30;   59;   67;   73;   74;   75;    0; 10,5;3;   31;   46;
90;19.04.2014  07:30;   59;   67;   73;   74;   75;    0; 10,1;3;   34;   53;
91;19.04.2014  08:30;   59;   67;   73;   74;   75;    0;  9,5;3;   38;   60;
92;19.04.2014  09:30;   59;   67;   73;   74;   75;    0; 12,9;3;   42;   68;
93;19.04.2014  10:30;   59;   67;   73;   74;   75;    0; 10,1;3;   43;   75;
94;19.04.2014  11:30;   59;   67;   73;   74;   75;    0;  9,5;3;   48;   82;
95;19.04.2014  12:30;   59;   67;   73;   74;   75;    0; 13,3;3;   55;   90;
96;19.04.2014  13:30;   59;   67;   73;   74;   75;    0; 14,0;3;   60;   97;
97;19.04.2014  14:30;   59;   67;   73;   74;   75;    0; 13,9;3;   64;  104;
98;19.04.2014  15:30;   59;   67;   73;   74;   75;    0;  9,6;3;   67;  110;
99;19.04.2014  16:30;   59;   67;   73;   74;   75;    0;  9,9;3;   72;  117;
100;19.04.2014  17:30;   59;   67;   73;   74;   75;    0; 11,0;3;   77;  124;
101;19.04.2014  18:30;   59;   67;   73;   74;   75;    0; 12,6;3;   82;  131;
102;19.04.2014  19:30;   60;   67;   73;   74;   74;    0; 14,1;3;   89;  138;
103;19.04.2014  20:30;   60;   67;   73;   74;   74;    0; 10,7;3;   95;  144;
104;19.04.2014  21:30;   60;   67;   73;   73;   74;    0; 13,4;3;  100;  151;
105;19.04.2014  22:30;   60;   67;   73;   73;   74;    0; 11,4;3;  104;  157;
106;19.04.2014  23:30;   60;   67;   73;   73;   74;    0; 10,0;3;  109;  163;
107;19.04.2014  23:59;   60;   67;   72;   73;   74;    0;  9,9;3;  111;  166;
108;20.04.2014  00:30;   60;   67;   72;   73;   74;    0; 13,9;3;    2;    4;
109;20.04.2014  01:30;   60;   67;   72;   73;   74;    0; 13,3;3;    6;   10;
110;20.04.2014  02:30;   60;   67;   72;   73;   74;    0; 12,2;3;   10;   16;
111;20.04.2014  03:30;   60;   67;   72;   73;   74;    0; 11,2;3;   16;   22;
112;20.04.2014  04:30;   60;   67;   72;   73;   74;    0; 10,4;3;   20;   28;
113;20.04.2014  05:30;   60;   68;   72;   73;   74;    0;  9,6;3;   26;   34;
114;20.04.2014  06:30;   60;   68;   72;   73;   74;    0;  9,9;3;   32;   40;
115;20.04.2014  07:30;   60;   68;   72;   73;   74;    0;  9,6;3;   38;   46;
116;20.04.2014  08:30;   60;   68;   72;   73;   74;    0;  9,6;3;   42;   52;
117;20.04.2014  09:30;   60;   68;   72;   73;   74;    0;  9,8;3;   48;   58;
118;20.04.2014  10:30;   60;   68;   72;   73;   73;    0; 10,1;3;   53;   64;
119;20.04.2014  11:30;   60;   68;   72;   73;   73;    0; 10,7;3;   57;   70;
120;20.04.2014  12:30;   60;   68;   72;   73;   73;    0; 11,6;3;   62;   76;
121;20.04.2014  13:30;   61;   68;   72;   73;   73;    0; 10,1;3;   68;   82;
122;20.04.2014  14:30;   61;   68;   72;   73;   73;    0; 13,3;3;   73;   91;
123;20.04.2014  15:30;   61;   68;   72;   73;   73;    0; 11,4;3;   77;   99;
124;20.04.2014  16:30;   61;   68;   72;   73;   73;    0; 13,9;3;   82;  106;
125;20.04.2014  17:30;   61;   68;   72;   73;   73;    0; 10,4;3;   90;  115;
126;20.04.2014  18:30;   61;   68;   72;   73;   73;    0; 13,4;3;   96;  124;
127;20.04.2014  19:30;   61;   68;   72;   73;   73;    0; 14,0;3;  102;  130;
128;20.04.2014  20:30;   61;   68;   72;   73;   73;    0; 14,1;3;  108;  136;
129;20.04.2014  21:30;   61;   68;   72;   73;   73;    0;  9,6;3;  113;  141;
130;20.04.2014  22:30;   61;   68;   72;   73;   73;    0; 11,4;3;  119;  147;
131;20.04.2014  23:30;   61;   68;   72;   72;   73;    0; 13,6;3;  125;  153;
132;20.04.2014  23:59;   62;   68;   72;   73;   73;    0;  9,6;3;  128;  156;
133;21.04.2014  00:30;   62;   68;   72;   73;   73;    0; 10,0;3;    2;    3;
134;21.04.2014  01:30;   62;   68;   72;   72;   73;    0; 11,9;3;    8;    9;
135;21.04.2014  02:30;   62;   68;   72;   72;   73;    0; 14,0;3;   14;   15;
136;21.04.2014  03:30;   62;   68;   72;   73;   73;    0; 10,0;3;   19;   20;
137;21.04.2014  04:30;   62;   68;   72;   72;   73;    0; 12,1;3;   25;   26;
138;21.04.2014  05:30;   62;   68;   72;   72;   73;    0; 13,8;3;   31;   32;
139;21.04.2014  06:30;   62;   68;   72;   72;   73;    0; 10,9;3;   36;   37;
140;21.04.2014  07:30;   62;   68;   72;   72;   73;    0; 13,5;3;   43;   43;
141;21.04.2014  08:30;   24;   23;   23;   20;   20;  100; 21,1;3;   48;   49;
142;21.04.2014  09:30;   20;   20;   20;   18;   16;  100; 21,1;3;   48;   49;
143;21.04.2014  10:30;   17;   16;   16;   15;   14;  100; 21,1;3;   48;   49;
144;21.04.2014  11:30;   14;   14;   15;   14;   14;  100; 21,1;3;   48;   49;
145;21.04.2014  12:30;   16;   16;   16;   16;   16;  100; 21,1;4;   54;   51;
146;21.04.2014  13:30;   17;   17;   17;   17;   17;  100; 21,1;4;   66;   55;
147;21.04.2014  14:30;   65;   69;   72;   73;   71;    0; 12,4;3;   81;   64;
148;21.04.2014  15:30;   65;   69;   73;   74;   72;    0;  9,2;3;   89;   72;
149;21.04.2014  16:30;   65;   69;   73;   74;   72;    0; 12,4;3;   99;   82;
150;21.04.2014  17:30;   65;   70;   73;   74;   73;    0; 12,9;3;  107;   92;
151;21.04.2014  18:30;   65;   70;   73;   74;   73;    0; 11,4;3;  113;  102;
152;21.04.2014  19:30;   65;   70;   73;   74;   73;    0;  9,6;3;  120;  112;
153;21.04.2014  20:30;   65;   70;   73;   74;   73;    0; 11,5;3;  127;  123;
154;21.04.2014  21:30;   65;   70;   73;   74;   73;    0; 10,3;3;  133;  133;
155;21.04.2014  22:30;   65;   70;   73;   74;   73;    0; 11,6;3;  140;  144;
156;21.04.2014  23:30;   65;   70;   73;   74;   73;    0; 11,3;3;  141;  154;
157;21.04.2014  23:59;   65;   70;   73;   74;   73;    0; 12,1;3;  141;  159;
158;22.04.2014  00:30;   65;   69;   73;   74;   73;    0; 12,1;3;    4;    5;
159;22.04.2014  01:30;   65;   70;   73;   74;   73;    0; 10,7;3;   10;   15;
160;22.04.2014  02:30;   65;   70;   73;   74;   73;    0;  9,9;3;   14;   24;
161;22.04.2014  03:30;   65;   70;   73;   74;   73;    0; 11,4;3;   20;   34;
162;22.04.2014  04:30;   66;   70;   73;   74;   73;    0; 11,2;3;   27;   44;
163;22.04.2014  05:30;   66;   70;   73;   74;   73;    0; 11,2;3;   32;   53;
164;22.04.2014  06:30;   66;   70;   73;   74;   73;    0; 10,3;3;   37;   62;
165;22.04.2014  07:30;   66;   70;   73;   74;   73;    0; 10,2;3;   43;   71;
166;22.04.2014  08:30;   66;   70;   73;   74;   74;    0; 10,2;3;   49;   80;
167;22.04.2014  09:30;   66;   70;   73;   74;   74;    0;  9,6;3;   56;   89;
168;22.04.2014  10:30;   66;   70;   73;   74;   74;    0; 10,2;3;   65;   99;
169;22.04.2014  11:30;   66;   70;   73;   74;   74;    0; 11,8;3;   70;  109;
170;22.04.2014  12:30;   67;   70;   73;   74;   74;    0;  9,4;3;   73;  118;
171;22.04.2014  13:30;   67;   70;   73;   74;   74;    0;  9,9;3;   79;  127;
172;22.04.2014  14:30;   67;   70;   73;   74;   74;    0; 10,4;3;   85;  136;
173;22.04.2014  15:30;   67;   70;   73;   74;   74;    0; 12,1;3;   93;  145;
