Company :
* Text *
* Text *

Stack- name: BC_9_HEAP
Filename : Z:\DATA\BC_9_HEAP_1-15-2015.CSV

First data download at: 1/30/2015
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;15.01.2015  16:46;   45;   54;   39;   21;   36;  100; 21,1;2;    1;    0;
2;15.01.2015  17:46;   48;   57;   44;   26;   38;  100;  0,0;2;   11;    5;
3;15.01.2015  18:46;   48;   58;   46;   29;   37;  100;  0,0;2;   21;   10;
4;15.01.2015  19:46;   50;   58;   48;   32;   37;  100;  0,0;2;   31;   15;
5;15.01.2015  20:46;   51;   59;   50;   35;   36;  100;  0,0;2;   41;   20;
6;15.01.2015  21:46;   53;   60;   52;   38;   36;  100;  0,0;2;   51;   25;
7;15.01.2015  22:46;   55;   61;   54;   40;   35;  100;  0,0;2;   61;   30;
8;15.01.2015  23:46;   56;   62;   55;   42;   35;   50;  0,0;2;   71;   35;
9;15.01.2015  23:59;   57;   62;   56;   42;   35;   48;  0,0;2;   74;   37;
10;16.01.2015  00:46;   58;   63;   57;   43;   34;   46;  0,0;2;    7;    3;
11;16.01.2015  01:46;   59;   64;   59;   44;   34;   43;  0,0;2;   17;    8;
12;16.01.2015  02:46;   61;   65;   60;   45;   34;   41;  0,1;2;   27;   13;
13;16.01.2015  03:46;   62;   66;   61;   46;   34;   40;  0,1;2;   37;   18;
14;16.01.2015  04:46;   63;   67;   63;   47;   34;   37;  0,1;2;   47;   23;
15;16.01.2015  05:46;   64;   68;   64;   48;   34;   36;  0,1;2;   57;   28;
16;16.01.2015  06:46;   65;   69;   65;   49;   34;   34;  0,0;2;   67;   33;
17;16.01.2015  07:46;   66;   69;   66;   50;   34;   32;  0,0;2;   77;   38;
18;16.01.2015  08:46;   66;   70;   67;   51;   34;   31;  0,0;2;   87;   43;
19;16.01.2015  09:46;   67;   70;   68;   52;   35;   29;  0,0;2;   97;   48;
20;16.01.2015  10:46;   67;   71;   69;   53;   35;   28;  0,0;2;  107;   53;
21;16.01.2015  11:46;   68;   71;   70;   54;   36;   26;  0,0;2;  117;   58;
22;16.01.2015  12:46;   68;   71;   70;   55;   36;   25;  0,0;2;  127;   63;
23;16.01.2015  15:07;   68;   72;   70;   57;   38;   22; 21,1;2;  136;   68;
24;16.01.2015  16:07;   69;   72;   71;   58;   39;   21;  0,0;2;  146;   73;
25;16.01.2015  17:07;   69;   72;   71;   60;   40;   18;  0,0;2;  156;   78;
26;16.01.2015  18:07;   70;   72;   71;   62;   42;   16;  0,0;2;  166;   83;
27;16.01.2015  19:07;   70;   72;   72;   64;   43;   14;  0,0;2;  176;   88;
28;16.01.2015  20:07;   71;   72;   72;   65;   45;   12;  0,0;2;  186;   93;
29;16.01.2015  21:07;   71;   73;   72;   66;   46;   11;  0,0;2;  196;   98;
30;16.01.2015  22:07;   71;   73;   72;   68;   48;    8;  0,0;2;  206;  103;
31;16.01.2015  23:07;   72;   73;   73;   69;   49;    7;  0,0;2;  216;  108;
32;16.01.2015  23:59;   72;   73;   73;   70;   51;    5;  0,0;2;  226;  113;
33;17.01.2015  00:07;   72;   73;   73;   70;   51;    5;  0,0;2;    0;    0;
34;17.01.2015  01:07;   72;   74;   73;   70;   53;    3;  0,0;2;   10;    5;
35;17.01.2015  02:07;   73;   74;   73;   71;   55;    0;  0,0;2;   20;   10;
36;17.01.2015  03:07;   73;   74;   74;   72;   58;    0;  0,0;2;   30;   15;
37;17.01.2015  04:07;   73;   75;   74;   72;   60;    0;  0,0;2;   40;   20;
38;17.01.2015  05:07;   74;   75;   74;   73;   62;    0;  0,0;2;   50;   25;
39;17.01.2015  06:07;   74;   75;   74;   73;   64;    0;  0,0;2;   60;   30;
40;17.01.2015  07:07;   74;   75;   75;   74;   65;    0;  0,0;2;   70;   35;
41;17.01.2015  08:07;   74;   75;   75;   74;   67;    0;  0,0;2;   80;   40;
42;17.01.2015  09:07;   74;   76;   75;   75;   68;    0;  0,0;2;   90;   45;
43;17.01.2015  10:07;   74;   76;   75;   75;   69;    0;  0,0;2;  100;   50;
44;17.01.2015  11:07;   75;   76;   76;   75;   70;    0;  0,0;2;  110;   55;
45;17.01.2015  12:07;   75;   76;   76;   76;   70;    0;  0,0;2;  120;   60;
46;17.01.2015  13:07;   75;   76;   76;   76;   71;    0;  0,0;2;  130;   65;
47;17.01.2015  14:07;   75;   76;   76;   76;   72;    0;  0,0;2;  140;   70;
48;17.01.2015  15:07;   75;   77;   77;   77;   72;    0;  0,0;2;  150;   75;
49;17.01.2015  16:07;   75;   77;   77;   77;   73;    0;  0,0;2;  160;   80;
50;17.01.2015  17:07;   76;   77;   77;   77;   73;    0;  0,0;2;  170;   85;
