Company :
* Text *
* Text *

Stack- name: BR_3_25_16
Filename : Z:\DATA\BR_3_25_16_3-25-2016.CSV

First data download at: 5/4/2016
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;25.03.2016  16:33;   32;   26;   36;   45;   41;  100; 21,1;3;    0;    1;
2;25.03.2016  17:33;   35;   28;   40;   50;   51;  100; 21,1;2;   10;    7;
3;25.03.2016  18:33;   38;   29;   40;   51;   55;  100; 21,1;2;   20;   12;
4;25.03.2016  19:33;   40;   31;   41;   52;   58;  100; 21,1;2;   30;   17;
5;25.03.2016  20:33;   44;   32;   42;   53;   61;  100; 21,1;2;   40;   22;
6;25.03.2016  21:33;   47;   34;   44;   54;   63;  100; 21,1;2;   50;   27;
7;25.03.2016  22:33;   50;   36;   45;   56;   65;  100; 21,1;2;   60;   32;
8;25.03.2016  23:33;   53;   39;   47;   57;   66;  100; 21,1;2;   70;   37;
9;25.03.2016  23:59;   54;   40;   47;   58;   66;  100; 21,1;2;   76;   40;
10;26.03.2016  00:33;   56;   42;   48;   59;   68;   98; 21,1;2;    4;    2;
11;26.03.2016  01:33;   59;   45;   50;   61;   69;   93; 21,1;2;   14;    7;
12;26.03.2016  02:33;   62;   48;   52;   62;   70;   87; 21,1;2;   24;   12;
13;26.03.2016  03:33;   64;   51;   54;   64;   70;   82; 21,1;2;   34;   17;
14;26.03.2016  04:33;   66;   54;   56;   65;   71;   77; 21,1;2;   44;   22;
15;26.03.2016  05:33;   67;   58;   58;   66;   72;    0; 21,1;2;   54;   27;
16;26.03.2016  06:33;   68;   61;   60;   68;   73;    0; 21,1;2;   64;   32;
17;26.03.2016  07:33;   69;   64;   62;   69;   73;    0; 21,1;2;   74;   37;
18;26.03.2016  08:33;   69;   67;   65;   70;   74;    0; 21,1;2;   84;   42;
19;26.03.2016  09:33;   70;   69;   68;   71;   75;    0; 21,1;2;   94;   47;
20;26.03.2016  10:33;   70;   70;   70;   72;   75;    0; 21,1;2;  104;   52;
21;26.03.2016  11:33;   70;   71;   71;   73;   76;    0; 21,1;2;  114;   57;
22;26.03.2016  12:33;   71;   72;   72;   74;   77;    0; 21,1;2;  124;   62;
23;26.03.2016  13:33;   71;   73;   73;   75;   77;    0; 21,1;2;  135;   67;
24;26.03.2016  14:33;   71;   74;   74;   75;   78;    0; 21,1;2;  145;   72;
25;26.03.2016  15:33;   71;   75;   75;   76;   78;    0; 21,1;2;  155;   77;
26;26.03.2016  16:33;   71;   75;   75;   77;   79;    0; 21,1;2;  165;   82;
27;26.03.2016  17:33;   71;   75;   76;   77;   79;    0; 21,1;2;  175;   87;
28;26.03.2016  18:33;   71;   76;   77;   78;   79;    0; 21,1;2;  185;   92;
29;26.03.2016  19:33;   71;   76;   77;   78;   80;    0; 21,1;2;  195;   97;
30;26.03.2016  20:33;   71;   76;   77;   79;   80;    0; 21,1;2;  205;  102;
31;26.03.2016  21:33;   71;   76;   78;   79;   80;    0; 21,1;2;  215;  107;
32;26.03.2016  22:33;   71;   76;   78;   79;   80;    0; 21,1;2;  225;  112;
33;26.03.2016  23:33;   70;   76;   78;   80;   80;    0; 21,1;2;  235;  117;
34;26.03.2016  23:59;   70;   76;   78;   80;   80;    0; 21,1;2;  240;  120;
